-2,3750000000E+00  6,3853206635E+00 -5,3208610535E-01  5,1208610535E-01
-1,8750000000E+00  1,6853206635E+01 -5,6208610535E-01  5,6208610535E-01
-1,7500000000E+00  2,5078868867E+01 -1,8241024023E+00  1,8241024023E+00
-1,6250000000E+00  3,0353093393E+01 -1,7673212325E+00  1,7673212325E+00
-1,5000000000E+00  3,1408799923E+01 -9,3877496140E-01  9,3877496140E-01
-1,3750000000E+00  3,2429282847E+01 -1,1462057545E+00  1,1462057545E+00
-1,2500000000E+00  3,3987725690E+01 -2,4259917514E+00  2,4259917514E+00
-1,1250000000E+00  2,8208945768E+01 -6,2218833831E-01  6,2218833831E-01
-1,0000000000E+00  2,7270073024E+01 -1,6350365122E+00  1,6350365122E+00
-8,7500000000E-01  2,0984815797E+01 -2,1126470994E-01  2,1126470994E-01
-7,5000000000E-01  1,8000241324E+01 -5,4064800555E-01  5,4064800555E-01
-6,2500000000E-01  1,7279030306E+01 -1,9953043375E+00  1,9953043375E+00
-5,0000000000E-01  1,3373603736E+01 -1,7649268679E+00  1,7649268679E+00
-3,7500000000E-01  8,7321208054E+00 -1,0079518822E+00  1,0079518822E+00
-2,5000000000E-01  7,7763810440E+00 -1,8886788032E+00  1,8886788032E+00
-1,2500000000E-01  4,1519917478E+00 -1,2005228514E+00  1,2005228514E+00
 0,0000000000E+00  1,6535825690E+00 -8,2679128449E-01  8,2679128449E-01
 1,2500000000E-01 -1,1561405845E+00 -4,8379292712E-02  1,1379292712E+00
 2,5000000000E-01 -1,5127512394E-02 -1,0075729626E+00  1,5075729626E+00
 3,7500000000E-01 -2,0045571146E+00 -1,8493152573E-01  1,8493152573E+00
 5,0000000000E-01  1,1148215260E+00 -1,7292857630E+00  1,7292857630E+00
 6,2500000000E-01  2,2247068724E+00 -2,1169158141E+00  2,1169158141E+00
 7,5000000000E-01  3,3490430529E+00 -2,3996191827E+00  2,3996191827E+00
 8,7500000000E-01  1,7226515696E+00 -1,2371955358E+00  1,2371955358E+00
 1,0000000000E+00  3,3536891581E+00 -1,6768445791E+00  1,6768445791E+00
 1,1250000000E+00  3,5535274167E+00 -1,4162748167E+00  1,4162748167E+00
 1,2500000000E+00  6,0451963649E+00 -2,3560942762E+00  2,3560942762E+00
 1,3750000000E+00  4,9219230353E+00 -1,5772487491E+00  1,5772487491E+00
 1,5000000000E+00  6,8925221867E+00 -2,4618860934E+00  2,4618860934E+00
 1,6250000000E+00  6,3929323899E+00 -2,2472932213E+00  2,2472932213E+00
 1,7500000000E+00  3,4379028028E+00 -9,4990843267E-01  9,4990843267E-01
 1,8750000000E+00  3,4705525381E+00 -1,2882700434E+00  1,2882700434E+00
 2,0000000000E+00  4,9368886871E+00 -2,4684443435E+00  2,4684443435E+00
 2,1250000000E+00  4,1309615225E-01 -7,4583945796E-01  7,4583945796E-01
 2,2500000000E+00  1,3865790900E+00 -1,8138950138E+00  1,8138950138E+00
 2,3750000000E+00 -3,9947766964E+00 -1,7688228167E-01  3,7688228167E+00
 2,5000000000E+00 -2,5849221658E+00 -8,1691391708E-01  3,1691391708E+00
 2,6250000000E+00  2,6704813354E-02 -1,3252878315E+00  0,3252878315E+00
 2,7500000000E+00 -3,3922680540E+00 -4,4693237927E-01  4,4693237927E+00
 2,8750000000E+00  1,6707247891E+00 -0,2725114424E+00  0,2725114424E+00
