 40.0000   0.0000 1.000
 42.8995   2.6990 1.000
 45.4200   5.7379 1.000
 47.3606   9.0345 1.000
 48.5569  12.4673 1.000
 48.8964  15.8874 1.000
 48.3264  19.1338 1.000
 46.8587  22.0500 1.000
 44.5671  24.5010 1.000
 41.5799  26.3874 1.000
 38.0670  27.6573 1.000
 34.2243  28.3128 1.000
 30.2551  28.4114 1.000
 26.3523  28.0624 1.000
 22.6811  27.4168 1.000
 19.3655  26.6543 1.000
 16.4787  25.9663 1.000
 14.0393  25.5374 1.000
 12.0123  25.5275 1.000
 10.3162  26.0558 1.000
  8.8340  27.1882 1.000
  7.4279  28.9297 1.000
  5.9560  31.2224 1.000
  4.2888  33.9491 1.000
  2.3242  36.9427 1.000
 -0.0000  40.0000 1.000
 -2.6990  42.8995 1.000
 -5.7379  45.4200 1.000
 -9.0345  47.3606 1.000
-12.4673  48.5569 1.000
-15.8874  48.8964 1.000
-19.1338  48.3264 1.000
-22.0500  46.8587 1.000
-24.5010  44.5671 1.000
-26.3874  41.5799 1.000
-27.6573  38.0670 1.000
-28.3128  34.2243 1.000
-28.4114  30.2551 1.000
-28.0624  26.3523 1.000
-27.4168  22.6811 1.000
-26.6543  19.3655 1.000
-25.9663  16.4787 1.000
-25.5374  14.0393 1.000
-25.5275  12.0123 1.000
-26.0558  10.3162 1.000
-27.1882   8.8340 1.000
-28.9297   7.4279 1.000
-31.2224   5.9560 1.000
-33.9491   4.2888 1.000
-36.9427   2.3242 1.000
-40.0000  -0.0000 1.000
-42.8995  -2.6990 1.000
-45.4200  -5.7379 1.000
-47.3606  -9.0345 1.000
-48.5569 -12.4673 1.000
-48.8964 -15.8874 1.000
-48.3264 -19.1338 1.000
-46.8587 -22.0500 1.000
-44.5671 -24.5010 1.000
-41.5799 -26.3874 1.000
-38.0670 -27.6573 1.000
-34.2243 -28.3128 1.000
-30.2551 -28.4114 1.000
-26.3523 -28.0624 1.000
-22.6811 -27.4168 1.000
-19.3655 -26.6543 1.000
-16.4787 -25.9663 1.000
-14.0393 -25.5374 1.000
-12.0123 -25.5275 1.000
-10.3162 -26.0558 1.000
 -8.8340 -27.1882 1.000
 -7.4279 -28.9297 1.000
 -5.9560 -31.2224 1.000
 -4.2888 -33.9491 1.000
 -2.3242 -36.9427 1.000
 -0.0000 -40.0000 1.000
  2.6990 -42.8995 1.000
  5.7379 -45.4200 1.000
  9.0345 -47.3606 1.000
 12.4673 -48.5569 1.000
 15.8874 -48.8964 1.000
 19.1338 -48.3264 1.000
 22.0500 -46.8587 1.000
 24.5010 -44.5671 1.000
 26.3874 -41.5799 1.000
 27.6573 -38.0670 1.000
 28.3128 -34.2243 1.000
 28.4114 -30.2551 1.000
 28.0624 -26.3523 1.000
 27.4168 -22.6811 1.000
 26.6543 -19.3655 1.000
 25.9663 -16.4787 1.000
 25.5374 -14.0393 1.000
 25.5275 -12.0123 1.000
 26.0558 -10.3162 1.000
 27.1882  -8.8340 1.000
 28.9297  -7.4279 1.000
 31.2224  -5.9560 1.000
 33.9491  -4.2888 1.000
 36.9427  -2.3242 1.000
       =        =     =
 40.0017   0.1250 0.975
 42.7913   2.8093 0.975
 45.1560   5.8137 0.975
 46.9072   9.0492 0.975
 47.8961  12.3905 0.975
 48.0269  15.6893 0.975
 47.2639  18.7886 0.975
 45.6343  21.5401 0.975
 43.2248  23.8193 0.975
 40.1722  25.5397 0.975
 36.6509  26.6626 0.975
 32.8563  27.2027 0.975
 28.9867  27.2279 0.975
 25.2259  26.8548 0.975
 21.7273  26.2376 0.975
 18.6009  25.5548 0.975
 15.9059  24.9917 0.975
 13.6478  24.7229 0.975
 11.7808  24.8949 0.975
 10.2156  25.6111 0.975
  8.8315  26.9209 0.975
  7.4909  28.8133 0.975
  6.0561  31.2167 0.975
  4.4048  34.0033 0.975
  2.4450  36.9997 0.975
  0.1250  40.0017 0.975
 -2.5593  42.7913 0.975
 -5.5637  45.1560 0.975
 -8.7992  46.9072 0.975
-12.1405  47.8961 0.975
-15.4393  48.0269 0.975
-18.5386  47.2639 0.975
-21.2901  45.6343 0.975
-23.5693  43.2248 0.975
-25.2897  40.1722 0.975
-26.4126  36.6509 0.975
-26.9527  32.8563 0.975
-26.9779  28.9867 0.975
-26.6048  25.2259 0.975
-25.9876  21.7273 0.975
-25.3048  18.6009 0.975
-24.7417  15.9059 0.975
-24.4729  13.6478 0.975
-24.6449  11.7808 0.975
-25.3611  10.2156 0.975
-26.6709   8.8315 0.975
-28.5633   7.4909 0.975
-30.9667   6.0561 0.975
-33.7533   4.4048 0.975
-36.7497   2.4450 0.975
-39.7517   0.1250 0.975
-42.5413  -2.5593 0.975
-44.9060  -5.5637 0.975
-46.6572  -8.7992 0.975
